id,age,bp,sg,al,su,rbc,pc,pcc,ba,bgr,bu,sc,sod,pot,hemo,pcv,wc,rc,htn,dm,cad,appet,pe,ane,classification,smoker,ckd_stage,username,email,password,phone_number
113,61.0,90.0,1.015,0.0,2.0,normal,normal,notpresent,notpresent,121.0,42.0,1.3,138.0,4.4,12.65,40.0,9800.0,4.8,no,yes,no,poor,no,yes,ckd,no,Stage 3,user114,user114@example.com,password123,+639256019961
114,12.0,60.0,1.015,3.0,0.0,abnormal,abnormal,present,notpresent,121.0,51.0,1.8,138.0,4.4,12.1,40.0,10300.0,4.8,no,no,no,good,no,no,ckd,no,Stage 3,user115,user115@example.com,password123,+639649249986
115,47.0,80.0,1.01,0.0,0.0,normal,abnormal,notpresent,notpresent,121.0,28.0,0.9,138.0,4.4,12.4,44.0,5600.0,4.3,no,no,no,good,no,yes,ckd,no,Stage 1-2,user116,user116@example.com,password123,+639728028602
116,55.0,70.0,1.015,4.0,0.0,abnormal,normal,notpresent,notpresent,104.0,16.0,0.5,138.0,4.4,12.65,40.0,8000.0,4.8,no,no,no,good,yes,no,ckd,no,Stage 1-2,user117,user117@example.com,password123,+639735698318
117,55.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,219.0,36.0,1.3,139.0,3.7,12.5,37.0,9800.0,4.4,no,no,no,good,no,no,ckd,no,Stage 3,user118,user118@example.com,password123,+639160748892
118,55.0,70.0,1.01,3.0,0.0,normal,normal,notpresent,notpresent,99.0,25.0,1.2,138.0,4.4,11.4,40.0,8000.0,4.8,no,no,no,poor,yes,no,ckd,no,Stage 3,user119,user119@example.com,password123,+639612383111
119,60.0,70.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,140.0,27.0,1.2,138.0,4.4,12.65,40.0,8000.0,4.8,no,no,no,good,no,no,ckd,yes,Stage 3,user120,user120@example.com,password123,+639482441718
120,72.0,90.0,1.025,1.0,3.0,normal,normal,notpresent,notpresent,323.0,40.0,2.2,137.0,5.3,12.6,40.0,8000.0,4.8,no,yes,yes,poor,no,no,ckd,no,Stage 4,user121,user121@example.com,password123,+639755044475
121,54.0,60.0,1.02,3.0,0.0,normal,normal,notpresent,notpresent,125.0,21.0,1.3,137.0,3.4,15.0,46.0,8000.0,4.8,yes,yes,no,good,yes,no,ckd,yes,Stage 3,user122,user122@example.com,password123,+639418276998
122,34.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,121.0,219.0,12.2,130.0,3.8,6.0,40.0,8000.0,4.8,yes,no,no,good,no,yes,ckd,yes,Stage 5,user123,user123@example.com,password123,+639778433128
123,43.0,80.0,1.015,2.0,3.0,normal,abnormal,present,present,121.0,30.0,1.1,138.0,4.4,14.0,42.0,14900.0,4.8,no,no,no,good,no,no,ckd,no,Stage 1-2,user124,user124@example.com,password123,+639359445966
124,65.0,100.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,90.0,98.0,2.5,138.0,4.4,9.1,28.0,5500.0,3.6,yes,no,no,good,no,no,ckd,no,Stage 4,user125,user125@example.com,password123,+639517261668
125,72.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,308.0,36.0,2.5,131.0,4.3,12.65,40.0,8000.0,4.8,yes,yes,no,poor,no,no,ckd,yes,Stage 4,user126,user126@example.com,password123,+639178184881
126,70.0,90.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,144.0,125.0,4.0,136.0,4.6,12.0,37.0,8200.0,4.5,yes,yes,no,poor,yes,no,ckd,yes,Stage 4,user127,user127@example.com,password123,+639193044547
127,71.0,60.0,1.015,4.0,0.0,normal,normal,notpresent,notpresent,118.0,125.0,5.3,136.0,4.9,11.4,35.0,15200.0,4.3,yes,yes,no,poor,yes,no,ckd,no,Stage 5,user128,user128@example.com,password123,+639355314621
128,52.0,90.0,1.015,4.0,3.0,normal,abnormal,notpresent,notpresent,224.0,166.0,5.6,133.0,47.0,8.1,23.0,5000.0,2.9,yes,yes,no,good,no,yes,ckd,yes,Stage 5,user129,user129@example.com,password123,+639353882226
129,75.0,70.0,1.025,1.0,0.0,normal,normal,notpresent,notpresent,158.0,49.0,1.4,135.0,4.7,11.1,40.0,8000.0,4.8,yes,no,no,poor,yes,no,ckd,yes,Stage 3,user130,user130@example.com,password123,+639924503427
130,50.0,90.0,1.01,2.0,0.0,normal,abnormal,present,present,128.0,208.0,9.2,134.0,4.8,8.2,22.0,16300.0,2.7,no,no,no,poor,yes,yes,ckd,no,Stage 5,user131,user131@example.com,password123,+639386269500
131,5.0,50.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,121.0,25.0,0.6,138.0,4.4,11.8,36.0,12400.0,4.8,no,no,no,good,no,no,ckd,no,Stage 1-2,user132,user132@example.com,password123,+639414509412
132,50.0,80.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,219.0,176.0,13.8,136.0,4.5,8.6,24.0,13200.0,2.7,yes,no,no,good,yes,yes,ckd,yes,Stage 5,user133,user133@example.com,password123,+639722859787
133,70.0,100.0,1.015,4.0,0.0,normal,normal,notpresent,notpresent,118.0,125.0,5.3,136.0,4.9,12.0,37.0,8400.0,8.0,yes,no,no,good,no,no,ckd,yes,Stage 5,user134,user134@example.com,password123,+639224967237
134,47.0,100.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,122.0,42.0,16.9,138.0,5.2,10.8,33.0,10200.0,3.8,no,yes,no,good,no,no,ckd,no,Stage 5,user135,user135@example.com,password123,+639721438802
135,48.0,80.0,1.015,0.0,2.0,normal,normal,notpresent,notpresent,214.0,24.0,1.3,140.0,4.0,13.2,39.0,8000.0,4.8,no,yes,no,poor,no,no,ckd,yes,Stage 3,user136,user136@example.com,password123,+639194542224
136,46.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,213.0,68.0,2.8,146.0,6.3,9.3,40.0,8000.0,4.8,yes,yes,no,good,no,no,ckd,yes,Stage 4,user137,user137@example.com,password123,+639435333398
137,45.0,60.0,1.01,2.0,0.0,normal,abnormal,present,notpresent,268.0,86.0,4.0,134.0,5.1,10.0,29.0,9200.0,4.8,yes,yes,no,good,no,no,ckd,yes,Stage 4,user138,user138@example.com,password123,+639647711824
138,73.0,80.0,1.01,1.0,0.0,normal,normal,notpresent,notpresent,95.0,51.0,1.6,142.0,3.5,12.65,40.0,8000.0,4.8,no,	no,no,good,no,no,ckd,no,Stage 3,user139,user139@example.com,password123,+639960086444
139,41.0,70.0,1.015,2.0,0.0,normal,abnormal,notpresent,present,121.0,68.0,2.8,132.0,4.1,11.1,33.0,8000.0,4.8,yes,no,no,good,yes,yes,ckd,no,Stage 4,user140,user140@example.com,password123,+639307514972
140,69.0,70.0,1.01,0.0,4.0,normal,normal,notpresent,notpresent,256.0,40.0,1.2,142.0,5.6,12.65,40.0,8000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 3,user141,user141@example.com,password123,+639156249710
141,67.0,70.0,1.01,1.0,0.0,normal,normal,notpresent,notpresent,121.0,106.0,6.0,137.0,4.9,6.1,19.0,6500.0,4.8,yes,no,no,good,no,yes,ckd,yes,Stage 5,user142,user142@example.com,password123,+639867994236
142,72.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,84.0,145.0,7.1,135.0,5.3,12.65,40.0,8000.0,4.8,no,yes,no,good,no,no,ckd,no,Stage 5,user143,user143@example.com,password123,+639523265379
143,41.0,80.0,1.015,1.0,4.0,abnormal,normal,notpresent,notpresent,210.0,165.0,18.0,135.0,4.7,12.65,40.0,8000.0,4.8,no,yes,no,good,no,no,ckd,yes,Stage 5,user144,user144@example.com,password123,+639740660134
144,60.0,90.0,1.01,2.0,0.0,abnormal,normal,notpresent,notpresent,105.0,53.0,2.3,136.0,5.2,11.1,33.0,10500.0,4.1,no,no,no,good,no,no,ckd,no,Stage 4,user145,user145@example.com,password123,+639175072873
145,57.0,90.0,1.015,5.0,0.0,abnormal,abnormal,notpresent,present,121.0,322.0,13.0,126.0,4.8,8.0,24.0,4200.0,3.3,yes,yes,yes,poor,yes,yes,ckd,yes,Stage 5,user146,user146@example.com,password123,+639441309960
146,53.0,100.0,1.01,1.0,3.0,abnormal,normal,notpresent,notpresent,213.0,23.0,1.0,139.0,4.0,12.65,40.0,8000.0,4.8,no,yes,no,good,no,no,ckd,yes,Stage 1-2,user147,user147@example.com,password123,+639901932702
147,60.0,60.0,1.01,3.0,1.0,normal,abnormal,present,notpresent,288.0,36.0,1.7,130.0,3.0,7.9,25.0,15200.0,3.0,yes,no,no,poor,no,yes,ckd,no,Stage 3,user148,user148@example.com,password123,+639493838302
148,69.0,60.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,171.0,26.0,48.1,138.0,4.4,12.65,40.0,8000.0,4.8,yes,no,no,poor,no,no,ckd,yes,Stage 5,user149,user149@example.com,password123,+639418194503
149,65.0,70.0,1.02,1.0,0.0,abnormal,abnormal,notpresent,notpresent,139.0,29.0,1.0,138.0,4.4,10.5,32.0,8000.0,4.8,yes,no,no,good,yes,no,ckd,yes,Stage 1-2,user150,user150@example.com,password123,+639579714949
150,8.0,60.0,1.025,3.0,0.0,normal,normal,notpresent,notpresent,78.0,27.0,0.9,138.0,4.4,12.3,41.0,6700.0,4.8,no,no,no,poor,yes,no,ckd,no,Stage 1-2,user151,user151@example.com,password123,+639592140390
151,76.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,172.0,46.0,1.7,141.0,5.5,9.6,30.0,8000.0,4.8,yes,yes,no,good,no,yes,ckd,yes,Stage 3,user152,user152@example.com,password123,+639118534218
152,39.0,70.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,121.0,20.0,0.8,133.0,3.5,10.9,32.0,8000.0,4.8,no,yes,no,good,no,no,ckd,no,Stage 1-2,user153,user153@example.com,password123,+639205049478
153,55.0,90.0,1.01,2.0,1.0,abnormal,abnormal,notpresent,notpresent,273.0,235.0,14.2,132.0,3.4,8.3,22.0,14600.0,2.9,yes,yes,no,poor,yes,yes,ckd,yes,Stage 5,user154,user154@example.com,password123,+639791753250
154,56.0,90.0,1.005,4.0,3.0,abnormal,abnormal,notpresent,notpresent,242.0,132.0,16.4,140.0,4.2,8.4,26.0,8000.0,3.0,yes,yes,no,poor,yes,yes,ckd,no,Stage 5,user155,user155@example.com,password123,+639734220999
155,50.0,70.0,1.02,3.0,0.0,abnormal,normal,present,present,123.0,40.0,1.8,138.0,4.4,11.1,36.0,4700.0,4.8,no,no,no,good,no,no,ckd,no,Stage 3,user156,user156@example.com,password123,+639769563432
156,66.0,90.0,1.015,2.0,0.0,normal,normal,notpresent,present,153.0,76.0,3.3,138.0,4.4,12.65,40.0,8000.0,4.8,no,no,no,poor,no,no,ckd,no,Stage 4,user157,user157@example.com,password123,+639665880816
157,62.0,70.0,1.025,3.0,0.0,normal,abnormal,notpresent,notpresent,122.0,42.0,1.7,136.0,4.7,12.6,39.0,7900.0,3.9,yes,yes,no,good,no,no,ckd,no,Stage 3,user158,user158@example.com,password123,+639634684023
158,71.0,60.0,1.02,3.0,2.0,normal,normal,present,notpresent,424.0,48.0,1.5,132.0,4.0,10.9,31.0,8000.0,4.8,yes,yes,yes,good,no,no,ckd,no,Stage 3,user159,user159@example.com,password123,+639890836198
159,59.0,80.0,1.01,1.0,0.0,abnormal,normal,notpresent,notpresent,303.0,35.0,1.3,122.0,3.5,10.4,35.0,10900.0,4.3,no,yes,no,poor,no,no,ckd,yes,Stage 3,user160,user160@example.com,password123,+639182743201
160,81.0,60.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,148.0,39.0,2.1,147.0,4.2,10.9,35.0,9400.0,2.4,yes,yes,yes,poor,yes,no,ckd,yes,Stage 4,user161,user161@example.com,password123,+639746252524
161,62.0,80.0,1.015,3.0,0.0,abnormal,normal,notpresent,notpresent,121.0,42.0,1.3,138.0,4.4,14.3,42.0,10200.0,4.8,yes,yes,no,good,no,no,ckd,yes,Stage 3,user162,user162@example.com,password123,+639304723281
162,59.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,204.0,34.0,1.5,124.0,4.1,9.8,37.0,6000.0,4.8,no,yes,no,good,no,no,ckd,no,Stage 3,user163,user163@example.com,password123,+639619129828
163,46.0,80.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,160.0,40.0,2.0,140.0,4.1,9.0,27.0,8100.0,3.2,yes,no,no,poor,no,yes,ckd,no,Stage 4,user164,user164@example.com,password123,+639401341202
164,14.0,80.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,192.0,15.0,0.8,137.0,4.2,14.3,40.0,9500.0,5.4,no,yes,no,poor,yes,no,ckd,no,Stage 1-2,user165,user165@example.com,password123,+639403245693
165,60.0,80.0,1.02,0.0,2.0,normal,normal,notpresent,notpresent,121.0,42.0,1.3,138.0,4.4,12.65,40.0,8000.0,4.8,no,yes,no,good,no,no,ckd,yes,Stage 3,user166,user166@example.com,password123,+639928300672
166,27.0,60.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,76.0,44.0,3.9,127.0,4.3,12.65,40.0,8000.0,4.8,no,no,no,poor,yes,yes,ckd,yes,Stage 4,user167,user167@example.com,password123,+639157839237
167,34.0,70.0,1.02,0.0,0.0,abnormal,normal,notpresent,notpresent,139.0,19.0,0.9,138.0,4.4,12.7,42.0,2200.0,4.8,no,no,no,poor,no,no,ckd,yes,Stage 1-2,user168,user168@example.com,password123,+639902218156
168,65.0,70.0,1.015,4.0,4.0,normal,normal,present,notpresent,307.0,28.0,1.5,138.0,4.4,11.0,39.0,6700.0,4.8,yes,yes,no,good,no,no,ckd,yes,Stage 3,user169,user169@example.com,password123,+639353737514
169,55.0,70.0,1.01,0.0,2.0,normal,normal,notpresent,notpresent,220.0,68.0,2.8,138.0,4.4,8.7,27.0,8000.0,4.8,yes,yes,no,good,no,yes,ckd,yes,Stage 4,user170,user170@example.com,password123,+639812918638
170,66.0,70.0,1.015,2.0,5.0,normal,normal,notpresent,notpresent,447.0,41.0,1.7,131.0,3.9,12.5,33.0,9600.0,4.4,yes,yes,no,good,no,no,ckd,no,Stage 3,user171,user171@example.com,password123,+639486209753
171,83.0,70.0,1.02,3.0,0.0,normal,normal,notpresent,notpresent,102.0,60.0,2.6,115.0,5.7,8.7,26.0,12800.0,3.1,yes,no,no,poor,no,yes,ckd,yes,Stage 4,user172,user172@example.com,password123,+639607369023
172,62.0,80.0,1.01,1.0,2.0,normal,normal,notpresent,notpresent,309.0,113.0,2.9,130.0,2.5,10.6,34.0,12800.0,4.9,no,no,no,good,no,no,ckd,no,Stage 4,user173,user173@example.com,password123,+639822829875
173,17.0,70.0,1.015,1.0,0.0,abnormal,normal,notpresent,notpresent,22.0,1.5,7.3,145.0,2.8,13.1,41.0,11200.0,4.8,no,no,no,good,no,no,ckd,no,Stage 5,user174,user174@example.com,password123,+639182116401
174,54.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,111.0,146.0,7.5,141.0,4.7,11.0,35.0,8600.0,4.6,no,no,no,good,no,no,ckd,no,Stage 5,user175,user175@example.com,password123,+639220089927
175,60.0,50.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,261.0,58.0,2.2,113.0,3.0,12.65,40.0,4200.0,3.4,yes,no,no,good,no,no,ckd,yes,Stage 4,user176,user176@example.com,password123,+639300240064
176,21.0,90.0,1.01,4.0,0.0,normal,abnormal,present,present,107.0,40.0,1.7,125.0,3.5,8.3,23.0,12400.0,3.9,no,no,no,good,no,yes,ckd,yes,Stage 3,user177,user177@example.com,password123,+639754126687
177,65.0,80.0,1.015,2.0,1.0,normal,normal,present,notpresent,215.0,133.0,2.5,138.0,4.4,13.2,41.0,8000.0,4.8,no,yes,no,good,no,no,ckd,no,Stage 4,user178,user178@example.com,password123,+639428554494
178,42.0,90.0,1.02,2.0,0.0,abnormal,abnormal,present,notpresent,93.0,153.0,2.7,139.0,4.3,9.8,34.0,9800.0,4.8,no,no,no,poor,yes,yes,ckd,no,Stage 4,user179,user179@example.com,password123,+639236226597
179,72.0,90.0,1.01,2.0,0.0,normal,abnormal,present,notpresent,124.0,53.0,2.3,138.0,4.4,11.9,39.0,8000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 4,user180,user180@example.com,password123,+639408277492
180,73.0,90.0,1.01,1.0,4.0,abnormal,abnormal,present,notpresent,234.0,56.0,1.9,138.0,4.4,10.3,28.0,8000.0,4.8,no,yes,no,good,no,no,ckd,no,Stage 3,user181,user181@example.com,password123,+639316893726
181,45.0,70.0,1.025,2.0,0.0,normal,abnormal,present,notpresent,117.0,52.0,2.2,136.0,3.8,10.0,30.0,19100.0,3.7,no,no,no,good,no,no,ckd,yes,Stage 4,user182,user182@example.com,password123,+639228052175
182,61.0,80.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,131.0,23.0,0.8,140.0,4.1,11.3,35.0,8000.0,4.8,no,no,no,good,no,no,ckd,yes,Stage 1-2,user183,user183@example.com,password123,+639533832232
183,30.0,70.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,101.0,106.0,6.5,135.0,4.3,12.65,40.0,8000.0,4.8,no,no,no,poor,no,no,ckd,no,Stage 5,user184,user184@example.com,password123,+639732213864
184,54.0,60.0,1.015,3.0,2.0,normal,abnormal,notpresent,notpresent,352.0,137.0,3.3,133.0,4.5,11.3,31.0,5800.0,3.6,yes,yes,yes,poor,yes,no,ckd,no,Stage 4,user185,user185@example.com,password123,+639818643749
185,4.0,80.0,1.02,1.0,0.0,normal,normal,notpresent,notpresent,99.0,23.0,0.6,138.0,4.4,12.0,34.0,8000.0,4.8,no,no,no,good,no,no,ckd,yes,Stage 1-2,user186,user186@example.com,password123,+639695491052
186,8.0,50.0,1.02,4.0,0.0,normal,normal,notpresent,notpresent,121.0,46.0,1.0,135.0,3.8,12.65,40.0,8000.0,4.8,no,no,no,good,yes,no,ckd,no,Stage 1-2,user187,user187@example.com,password123,+639827664054
187,3.0,80.0,1.01,2.0,0.0,normal,normal,notpresent,notpresent,121.0,22.0,0.7,138.0,4.4,10.7,34.0,12300.0,4.8,no,no,no,good,no,no,ckd,no,Stage 1-2,user188,user188@example.com,password123,+639111304576
188,8.0,80.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,80.0,66.0,2.5,142.0,3.6,12.2,38.0,8000.0,4.8,no,	no,no,good,no,no,ckd,no,Stage 4,user189,user189@example.com,password123,+639440748532
189,64.0,60.0,1.01,4.0,1.0,abnormal,abnormal,notpresent,present,239.0,58.0,4.3,137.0,5.4,9.5,29.0,7500.0,3.4,yes,yes,no,poor,yes,no,ckd,yes,Stage 4,user190,user190@example.com,password123,+639511767651
190,6.0,60.0,1.01,4.0,0.0,abnormal,abnormal,notpresent,present,94.0,67.0,1.0,135.0,4.9,9.9,30.0,16700.0,4.8,no,no,no,poor,no,no,ckd,yes,Stage 1-2,user191,user191@example.com,password123,+639142102818
191,55.0,70.0,1.01,3.0,0.0,normal,normal,notpresent,notpresent,110.0,115.0,6.0,134.0,2.7,9.1,26.0,9200.0,3.4,yes,yes,no,poor,no,no,ckd,yes,Stage 5,user192,user192@example.com,password123,+639299238199
192,46.0,110.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,130.0,16.0,0.9,138.0,4.4,12.65,40.0,8000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 1-2,user193,user193@example.com,password123,+639693601304
193,32.0,90.0,1.025,1.0,0.0,abnormal,abnormal,notpresent,notpresent,121.0,223.0,18.1,113.0,6.5,5.5,15.0,2600.0,2.8,yes,yes,no,poor,yes,yes,ckd,yes,Stage 5,user194,user194@example.com,password123,+639474496078
194,80.0,70.0,1.01,2.0,0.0,normal,abnormal,notpresent,notpresent,121.0,49.0,1.2,138.0,4.4,12.65,40.0,8000.0,4.8,yes,	yes,no,good,no,no,ckd,no,Stage 3,user195,user195@example.com,password123,+639644508268
195,70.0,90.0,1.02,2.0,1.0,abnormal,abnormal,notpresent,present,184.0,98.6,3.3,138.0,3.9,5.8,40.0,8000.0,4.8,yes,yes,yes,poor,no,no,ckd,yes,Stage 4,user196,user196@example.com,password123,+639328317857
196,49.0,100.0,1.01,3.0,0.0,abnormal,abnormal,notpresent,notpresent,129.0,158.0,11.8,122.0,3.2,8.1,24.0,9600.0,3.5,yes,yes,no,poor,yes,yes,ckd,no,Stage 5,user197,user197@example.com,password123,+639879944899
197,57.0,80.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,121.0,111.0,9.3,124.0,5.3,6.8,40.0,4300.0,3.0,yes,yes,no,good,no,yes,ckd,no,Stage 5,user198,user198@example.com,password123,+639120127229
198,59.0,100.0,1.02,4.0,2.0,normal,normal,notpresent,notpresent,252.0,40.0,3.2,137.0,4.7,11.2,30.0,26400.0,3.9,yes,yes,no,poor,yes,no,ckd,yes,Stage 4,user199,user199@example.com,password123,+639524056782
199,65.0,80.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,92.0,37.0,1.5,140.0,5.2,8.8,25.0,10700.0,3.2,yes,no,yes,good,yes,no,ckd,no,Stage 3,user200,user200@example.com,password123,+639481608231
200,90.0,90.0,1.025,1.0,0.0,normal,normal,notpresent,notpresent,139.0,89.0,3.0,140.0,4.1,12.0,37.0,7900.0,3.9,yes,yes,no,good,no,no,ckd,yes,Stage 4,user201,user201@example.com,password123,+639484962814
201,64.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,113.0,94.0,7.3,137.0,4.3,7.9,21.0,8000.0,4.8,yes,yes,yes,good,yes,yes,ckd,yes,Stage 5,user202,user202@example.com,password123,+639712586511
202,78.0,60.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,114.0,74.0,2.9,135.0,5.9,8.0,24.0,8000.0,4.8,no,yes,no,good,no,yes,ckd,no,Stage 4,user203,user203@example.com,password123,+639905987462
203,55.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,207.0,80.0,6.8,142.0,5.5,8.5,40.0,8000.0,4.8,yes,yes,no,good,no,yes,ckd,no,Stage 5,user204,user204@example.com,password123,+639559958575
204,65.0,90.0,1.01,4.0,2.0,normal,normal,notpresent,notpresent,172.0,82.0,13.5,145.0,6.3,8.8,31.0,8000.0,4.8,yes,yes,no,good,yes,yes,ckd,yes,Stage 5,user205,user205@example.com,password123,+639409930935
205,61.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,100.0,28.0,2.1,138.0,4.4,12.6,43.0,8000.0,4.8,yes,yes,no,good,no,no,ckd,yes,Stage 4,user206,user206@example.com,password123,+639671092700
206,60.0,70.0,1.01,1.0,0.0,normal,normal,notpresent,notpresent,109.0,96.0,3.9,135.0,4.0,13.8,41.0,8000.0,4.8,yes,no,no,good,no,no,ckd,no,Stage 4,user207,user207@example.com,password123,+639227023242
207,50.0,70.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,230.0,50.0,2.2,138.0,4.4,12.0,41.0,10400.0,4.6,yes,yes,no,good,no,no,ckd,no,Stage 4,user208,user208@example.com,password123,+639515676481
208,67.0,80.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,341.0,37.0,1.5,138.0,4.4,12.3,41.0,6900.0,4.9,yes,yes,no,good,no,yes,ckd,yes,Stage 3,user209,user209@example.com,password123,+639741615573
209,19.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,121.0,42.0,1.3,138.0,4.4,11.5,40.0,6900.0,4.8,no,no,no,good,no,no,ckd,yes,Stage 3,user210,user210@example.com,password123,+639844925594
210,59.0,100.0,1.015,4.0,2.0,normal,normal,notpresent,notpresent,255.0,132.0,12.8,135.0,5.7,7.3,20.0,9800.0,3.9,yes,yes,yes,good,no,yes,ckd,no,Stage 5,user211,user211@example.com,password123,+639385933459
211,54.0,120.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,103.0,18.0,1.2,138.0,4.4,12.65,40.0,8000.0,4.8,no,no,no,good,no,no,ckd,yes,Stage 3,user212,user212@example.com,password123,+639734549607
212,40.0,70.0,1.015,3.0,4.0,normal,normal,notpresent,notpresent,253.0,150.0,11.9,132.0,5.6,10.9,31.0,8800.0,3.4,yes,yes,no,poor,yes,no,ckd,no,Stage 5,user213,user213@example.com,password123,+639558398633
213,55.0,80.0,1.01,3.0,1.0,normal,abnormal,present,present,214.0,73.0,3.9,137.0,4.9,10.9,34.0,7400.0,3.7,yes,yes,no,good,yes,no,ckd,no,Stage 4,user214,user214@example.com,password123,+639705800453
214,68.0,80.0,1.015,0.0,0.0,normal,abnormal,notpresent,notpresent,171.0,30.0,1.0,138.0,4.4,13.7,43.0,4900.0,5.2,no,yes,no,good,no,no,ckd,no,Stage 1-2,user215,user215@example.com,password123,+639960018816
215,2.0,80.0,1.01,3.0,0.0,normal,abnormal,notpresent,notpresent,121.0,42.0,1.3,138.0,4.4,12.65,40.0,8000.0,4.8,no,no,no,good,yes,no,ckd,no,Stage 3,user216,user216@example.com,password123,+639287964572
216,64.0,70.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,107.0,15.0,1.3,138.0,4.4,12.8,38.0,8000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 3,user217,user217@example.com,password123,+639624957451
217,63.0,100.0,1.01,1.0,0.0,normal,normal,notpresent,notpresent,78.0,61.0,1.8,141.0,4.4,12.2,36.0,10500.0,4.3,no,yes,no,good,no,no,ckd,no,Stage 3,user218,user218@example.com,password123,+639935756603
218,33.0,90.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,92.0,19.0,0.8,138.0,4.4,11.8,34.0,7000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 1-2,user219,user219@example.com,password123,+639431142659
219,68.0,90.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,238.0,57.0,2.5,138.0,4.4,9.8,28.0,8000.0,3.3,yes,yes,no,poor,no,no,ckd,yes,Stage 4,user220,user220@example.com,password123,+639394035182
220,36.0,80.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,103.0,42.0,1.3,138.0,4.4,11.9,36.0,8800.0,4.8,no,no,no,good,no,no,ckd,no,Stage 3,user221,user221@example.com,password123,+639755837156
221,66.0,70.0,1.02,1.0,0.0,normal,normal,notpresent,notpresent,248.0,30.0,1.7,138.0,5.3,12.65,40.0,8000.0,4.8,yes,yes,no,good,no,no,ckd,yes,Stage 3,user222,user222@example.com,password123,+639188658908
222,74.0,60.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,108.0,68.0,1.8,138.0,4.4,12.65,40.0,8000.0,4.8,yes,yes,no,good,no,no,ckd,yes,Stage 3,user223,user223@example.com,password123,+639685790049
223,71.0,90.0,1.01,0.0,3.0,normal,normal,notpresent,notpresent,303.0,30.0,1.3,136.0,4.1,13.0,38.0,9200.0,4.6,yes,yes,no,good,no,no,ckd,no,Stage 3,user224,user224@example.com,password123,+639145243908
224,34.0,60.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,117.0,28.0,2.2,138.0,3.8,12.65,40.0,8000.0,4.8,no,no,no,good,yes,no,ckd,no,Stage 4,user225,user225@example.com,password123,+639951321771
225,60.0,90.0,1.01,3.0,5.0,abnormal,normal,notpresent,present,490.0,95.0,2.7,131.0,3.8,11.5,35.0,12000.0,4.5,yes,yes,no,good,no,no,ckd,yes,Stage 4,user226,user226@example.com,password123,+639733829314
226,64.0,100.0,1.015,4.0,2.0,abnormal,abnormal,notpresent,present,163.0,54.0,7.2,140.0,4.6,7.9,26.0,7500.0,3.4,yes,yes,no,good,yes,no,ckd,yes,Stage 5,user227,user227@example.com,password123,+639158255859
